objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
291,9871,003pCu2001x,"Intermontane Island-Arc",Pine,,,"Tree prospect, Fin prospect",deposit,Canada,"British Columbia",57.233305351,-126.733318937,"Porphyry copper",Cu-Au,201,"Inferred from U-Pb zircon mean age for Kemess South","202 Ma (U-Pb zircon); 200 Ma (unknown method)",unknown,"Cu, Au, Ag",Mo,,70,0.15,-9999,0.57,-9999,100000,-9999,"1992(?), resource estimated.","bornite, chalcopyrite, magnetite, molybdenite, native gold, pyrite","diorite, quartz monzonite, granodiorite",Prospect,"MINFILE BC (2009); Schroeter (1995); Schroeter and others (2006); Sinclair (2007); Singer and others (2008)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic–Early Jurassic"
292,9874,003pCu2004x,"Cordilleran Continental Arc","Poison Mountain",Rex,,"Copper Creek, Fenton Creek, Rex",deposit,Canada,"British Columbia",51.133305748,-122.614215899,"Porphyry copper",NA,58,"K-Ar (mean)","59 Ma; 56 Ma",unknown,"Cu, Au, Mo",Ag,,808,0.24,0.0075,0.12,3,1900000,16,"1993, resource estimated.","bornite, chalcocite, chalcopyrite, covellite, hematite, molybdenite, magnetite, pyrite","diorite-granodiorite porphyry",Prospect,"MINFILE BC (2009); Sutherland Brown (1976); Schroeter (1995); Sinclair (2007); Singer and others (2008)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Paleocene
293,9875,003pCu2004x,"Cordilleran Continental Arc",Poplar,Tagetochlain,,Tagetochlain,deposit,Canada,"British Columbia",54.016705272,-126.990017576,"Porphyry copper",NA,74,K-Ar(?),"75–72 Ma","Singer and others (2008)","Cu, Mo, Ag",Zn,,236,0.37,-9999,-9999,-9999,870000,-9999,"1982, resource estimated.","azurite, chalcopyrite, malachite, molybdenite, pyrite, sphalerite","biotite monzonite porphyry, granodiorite",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Schroeter (1995); Schroeter and others (2006); Singer and others (2008); Gold Reach Resources Ltd. (2008)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Cretaceous"
294,9878,003pCu2002x,"Intermontane Island-Arc Cu-Au","Primer North zone","Primer - North zone, Prime, Primer Group, Prime-Man","Axe-Primer Group","Group includes Axe, Axe South zone, Axe West zone, Primer North zone deposits and Coke, Log, Man, Primer South zone, and Rum prospects.",deposit,Canada,"British Columbia",49.767805938,-120.474715138,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic","geologic inference","Cu, Au, Ag",,,23,0.7,-9999,-9999,-9999,200000,-9999,,"azurite, chalcopyrite, magnetite, malachite, pyrite","diorite, microdiorite, hornblende-diorite porphyry dike",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Sinclair (2007); Singer and others (2008); DeGrace and others (2008); Candorado Operating Co. (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
295,9886,003pCu2002x,"Intermontane Island-Arc Cu-Au",Rainbow,Chieftain,"Afton-Ajax Group","Chieftain, Lone Tree, Rainbow 2, 17, 22, Afton 22, Sugarloaf Hill; Group includes Afton, Ajax JV, Big Onion, DM-Audra-Crescent, Galaxy, Iron Mask, and Rainbow deposits and Ace, Admiral Dewy, Crescent, Fargo, Kimberly, and Python prospects.",deposit,Canada,"British Columbia",50.636105983,-120.465015382,"Porphyry copper",NA,205,"Inferred from U-Pb zircon age for Afton","205 Ma",unknown,"Cu, Ag, Mo","Au, Pd",,30.66,0.528,-9999,0.119,-9999,162000,-9999,,"chalcopyrite, pyrite","diorite, monzonite",Prospect,"MINFILE BC (2009); Sinclair (2007); Bravo Venture Group (2008)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
296,9894,003pCu2002x,"Intermontane Island-Arc Cu-Au","Red Chris",Main,,,deposit,Canada,"British Columbia",57.699704907,-129.805319617,"Porphyry copper",Cu-Au,210,"U-Pb zircon","210 Ma, 204 Ma",unknown,"Cu, Au, Ag","Pb, Zn, Mo",,714.8,0.356,-9999,0.281,1.5,2540000,-9999,"Cu-Au with very low-grade Mo; both alkaline and calc-alkaline rocks in area.","bornite, chalcopyrite, galena, magnetite, molybdenite, pyrite, sphalerite","monzonite, monzodiorite, quartz monzonite, quartz diorite, granodiorite",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Schroeter (1995); Schroeter and others (2006); Schroeter and others (2007); Sinclair (2007); Singer and others (2008); James Logan (written commun., 2008)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
297,9895,003pCu2003,"Insular Mixed Island- and Continental Arc","Red Dog",,"Hushamu Group","Northwest Expo; Group includes Hushamu and Red Dog deposits and HEP prospect.",deposit,Canada,"British Columbia",50.710605075,-127.972216568,"Porphyry copper",Cu-Au,172,"Ar-Ar (mean)","173 Ma, 170 Ma",unknown,"Cu, Au, Mo",Ag,,45,0.35,0.006,0.44,-9999,158000,70,"Transitional to epithermal.","bornite, chalcocite, chalcopyrite, magnetite, pyrite","quartz diorite, diorite, quartz-feldspar porphyry",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Sinclair (2007)",mixed,"British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Middle Jurassic"
298,9898,003pCu2004x,"Cordilleran Continental Arc","Rey Lake",Rey,,"Rey, RL",deposit,Canada,"British Columbia",50.33830594,-120.710815339,"Porphyry copper",NA,69,K-Ar(?),"69 Ma",unknown,"Cu, Mo",,,46.862,0.17,0.018,-9999,-9999,80000,-9999,,"chalcopyrite, molybdenite, pyrite","biotite quartz monzonite, quartz diorite",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Sinclair (2007)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Cretaceous"
299,9910,003pCu2001x,"Intermontane Island-Arc",Sawmill,"Cole, Gibraltar","Gibraltar Group","Group includes Gibralter and Sawmill deposits and Gunn prospect.",deposit,Canada,"British Columbia",52.468105842,-122.273316271,"Porphyry copper",NA,210,"Inferred from U-Pb zircon age for Gibraltar","210 Ma (K-Ar); 204 Ma (K-Ar hornblende)",unknown,"Cu, Mo",,,68.492,0.244,-9999,-9999,-9999,167000,-9999,,"bornite, chalcopyrite, magnetite, molybdenite, pyrite","diorite, quartz diorite",Prospect,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
300,9911,003pCu2001x,"Intermontane Island-Arc","Schaft Creek","Liard Copper","Schaft Creek Group","Bird-SnoLiard zone, Liard Copper, Paramount zone, West Breccia zone; Group includes NABS and Schaft Creek deposits.",deposit,Canada,"British Columbia",57.364204733,-130.990319601,"Porphyry copper",NA,222,"U-Pb zircon","222 Ma (U-Pb zircon); 222 Ma (Re-Os molybdenite)",unknown,"Cu, Mo, Au",Ag,,1393.3,0.25,0.019,0.18,1.55,3480000,9.5,"1981, resource estimated.","bornite, chalcocite, chalcopyrite, covellite, galena, molybdenite, native copper, pyrite, sphalerite, tetrahedrite","quartz diorite, quartz monzonite, granodiorite, breccia",Prospect,"MINFILE BC (2009); Sutherland Brown (1976); Schroeter (1995); Schroeter and others (2006); Schroeter and others (2007); Sinclair (2007); Singer and others (2008); Scott and others (2008); Copper Fox Metals Inc. (2007)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
301,9928,003pCu2002x,"Intermontane Island-Arc Cu-Au","Sulphurets Gold",Sulphurets,"Sulphurets Group","Breccia zone, Canyon zone, Main Copper zone, Sulphurets Gold zone; Group includes Kerr, Mitchell, and Sulphurets Gold deposits and Bornite prospect.",deposit,Canada,"British Columbia",56.504448839,-130.26779709,"Porphyry copper",Cu-Au,196,"U-Pb zircon","196 Ma",unknown,"Au, Cu, Mo",,,87.3,0.27,-9999,0.72,-9999,240000,-9999,"Abrupt breaks in grade are related to post-mineral faults.","bornite, chalcopyrite, molybdenite, pyrite","monzonite (ore-associated), syenite, quartz monzonite, granite",Prospect,"MINFILE BC (2009); Schroeter (1995); DeGrace and others (2008); Sinclair (2007); Singer and others (2008); Seabridge Gold (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
302,9933,003pCu2002x,"Intermontane Island-Arc Cu-Au",TAM,REM,"Lorraine Group","Rem, Ham, Boundary, Midway, Creek, Sam, Cuirque, Fault, Slide; Group includes Jajay, Misty, and TAM deposits and All Alone Dome and Jeno prospects.",deposit,Canada,"British Columbia",55.972005509,-125.503918158,"Porphyry copper",NA,179,K-Ar,"179 Ma",unknown,"Cu, Ag",,,7.2,0.55,-9999,-9999,4.11,40000,-9999,,"chalcopyrite, magnetite, malachite, pyrite","pyroxenite, syenite, syenodiorite, monzodiorite, monzonite, quartz monzonite",Prospect,"MINFILE BC (2009); Sinclair (2007)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
303,9935,003pCu2004x,"Cordilleran Continental Arc",Taseko,Empress,,"Empress, Granite Creek, Lower North, Upper North, 76",deposit,Canada,"British Columbia",51.104405651,-123.400016018,"Porphyry copper",Cu-Au,86,"K-Ar, Ar-Ar","86 Ma",unknown,"Cu, Au, Mo",Ag,,15,0.53,0.012,0.53,-9999,80000,44,"1991, resource estimated.","bornite, chalcopyrite, hematite, magnetite, molybdenite, native gold, pyrite, pyrrhotite","quartz diorite, granodiorite, quartz monzonite",Prospect,"MINFILE BC (2009); Schroeter (1995); Sinclair (2007); Singer and others (2008)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Cretaceous"
304,9959,003pCu2002x,"Intermontane Island-Arc Cu-Au","Williams Creek","Boy, Carmacks",,"zone 1, zone 4, zone 12, zone 13",deposit,Canada,"Yukon Territory",62.348903757,-136.693623336,"Porphyry copper",Cu-Au,-9999,"Geologic inference","Late Triassic–Early Jurassic","geologic inference","Cu, Au, Ag",Mo,,19.27,0.95,-9999,0.376,3.592,183000,-9999,"Alkaline porphyry Cu-Au in and around mafic metavolcanic pendants in foliated batholith.","azurite, bornite, chalcopyrite, covellite, cuprite, digenite, djurlite, malachite, molybdenite, tenorite","silica undersaturated mafic metavolcanic gneiss pendants or """"rafts"""" in granodiorite batholith",Prospect,"MINFILE YT (2009); Singer and others (2008); Western Copper Corp. (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic–Early Jurassic"
305,9603,003pCu2002x,"Intermontane Island-Arc Cu-Au",Ace,Kingpin,"Afton-Ajax Group","Group includes Afton, Ajax JV, Big Onion, DM-Audra-Crescent, Galaxy, Iron Mask, and Rainbow deposits and Ace, Admiral Dewy, Crescent, Fargo, Kimberly, and Python prospects.",prospect,Canada,"British Columbia",50.585305998,-120.318315342,"Porphyry copper",NA,205,"Inferred from U-Pb zircon age for Afton","205 Ma",unknown,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.38 percent Cu.","bornite, chalcopyrite, magnetite, pyrite","diorite, monzonite",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
306,9604,003pCu2002x,"Intermontane Island-Arc Cu-Au","Admiral Dewy",Cyclone,"Afton-Ajax Group","Group includes Afton, Ajax JV, Big Onion, DM-Audra-Crescent, Galaxy, Iron Mask, and Rainbow deposits and Ace, Admiral Dewy, Crescent, Fargo, Kimberly, and Python prospects.",prospect,Canada,"British Columbia",50.588905997,-120.326715344,"Porphyry copper",NA,205,"Inferred from U-Pb zircon age for Afton","205 Ma",unknown,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.19 percent Cu.","bornite, chalcopyrite, magnetite, pyrite","diorite, monzonite, intrusive breccia",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
307,9607,003pCu2001x,"Intermontane Island-Arc",AL,Axe,,,prospect,Canada,"British Columbia",57.744204828,-130.335319711,"Porphyry copper",NA,205,"Inferred from U-Pb zircon age for Kinaskan","205 Ma",unknown,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.72 percent Cu.","chalcopyrite, pyrite",diorite,Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
308,9609,003pCu2002x,"Intermontane Island-Arc Cu-Au","All Alone Dome",Lorraine,"Lorraine Group","Group includes Jajay, Misty, and TAM deposits and All Alone Dome and Jeno prospects.",prospect,Canada,"British Columbia",55.939205514,-125.464718137,"Porphyry copper",NA,212,K-Ar,"212 Ma, 176 Ma",unknown,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Net veins and migmatite indicate deep levels of emplacement. Grades: 0.13 percent Cu.","chalcopyrite, covellite, bornite, magnetite, pyrite","pyroxenite, diorite, monzonite, syenite",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic–Early Jurassic"
309,9611,003pCu2004x,"Cordilleran Continental Arc",Ann,SU,,,prospect,Canada,"British Columbia",57.059404652,-131.549519518,"Porphyry copper",NA,48,"K-Ar biotite","48 Ma",unknown,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.15 percent Cu.","chalcopyrite, magnetite, pyrite","diorite (porphyritic), granodiorite (porphyritic)",Prospect,"MINFILE BC (2009)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Eocene
310,9613,003pCu2002x,"Intermontane Island-Arc Cu-Au","Ann North","Ophir, Ann South","Lac La Heche Group","Ann South, Harvey, Don, Tennantite; Group includes Ann North, Peach 3, and Peach-Melba prospects.",prospect,Canada,"British Columbia",51.974205942,-121.312815942,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic–Early Jurassic","geologic inference","Cu, Au, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.29 percent Cu, 0.33 g/t Au.","bornite, chalcopyrite, molybdenite, pyrite, pyrrhotite, tetrahedrite","monzonite, diorite, monzodiorite, syenite",Occurrence,"MINFILE BC (2009); Schroeter and others (2007); DeGrace and others (2008); GW Resources Inc. (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic–Early Jurassic"
311,9614,003pCu2002x,"Intermontane Island-Arc Cu-Au","Aplite Creek",Ahdatay,,,prospect,Canada,"British Columbia",55.323605583,-124.879417778,"Porphyry copper",NA,183,"Inferred from U-Pb zircon age for Mount Milligan","183 Ma",unknown,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.098 percent Cu, 6.4 g/t Au.","bornite, chalcopyrite, magnetite, pyrite","diorite, monzonite",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
312,9616,003pCu2002x,"Intermontane Island-Arc Cu-Au",ATO,Rondah,,,prospect,Canada,"British Columbia",55.913305537,-125.291718098,"Porphyry copper",NA,184,"Inferred from K-Ar age for Lorraine","184 Ma",unknown,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.51 percent Cu.","bornite, chalcopyrite, covellite, magnetite, pyrite","pyroxenite, diorite, monzodiorite, monzonite, syenite",Prospect,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
313,9618,003pCu2002x,"Intermontane Island-Arc Cu-Au",Auddie,,,,prospect,Canada,"British Columbia",55.740005515,-125.430018044,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic(?)–Early Jurassic(?)","geologic inference","Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Early stage, encouraging results, alkaline porhyry Cu-Au-type rocks, mineralization, alteration. Grades: 0.213 percent Cu.","chalcopyrite, pyrite","monzonite, porphyritic to equigranular",Occurrence,"David Wilburn (written commun., 2008); Rimfire Minerals Corp. (2008)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic(?)–Early Jurassic(?)"
314,9619,003pCu2002x,"Intermontane Island-Arc Cu-Au","Aurizon Gold zone",Ophir,,,prospect,Canada,"British Columbia",51.957805944,-121.285615932,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic","geologic inference","Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.22 percent Cu, 11.4 g/t Au.","bornite, chalcopyrite, malachite, native copper, tetrahedrite","monzonite, intrusive breccia",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
315,9623,003pCu2004x,"Cordilleran Continental Arc",Babs,,,,prospect,Canada,"British Columbia",54.853605421,-126.002217761,"Porphyry copper",NA,52,"Inferred from Ar-Ar age for Bell Copper","52 Ma",unknown,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.19 percent Cu.","chalcopyrite, pyrite","biotite-feldspar porphyry",Occurrence,"MINFILE BC (2009)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Eocene
316,9624,003pCu2004x,"Cordilleran Continental Arc","Ball Creek","Mary, Me",,"Greg, Tara, Me, Roy, Rog",prospect,Canada,"British Columbia",57.278337817,-130.416686484,"Porphyry copper",NA,-9999,"Geologic inference",Jurassic–Cretaceous,"geologic inference","Cu, Mo, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.208 percent Cu, 0.005 percent Mo, 0.535 g/t Au.","chalcopyrite, molybdenite, pyrite","quartz diorite, monzonite",Prospect,"MINFILE BC (2009); Pilcher and McDougall (1976); Schroeter and others (2007); DeGrace and others (2008)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Jurassic–Cretaceous
317,9625,003pCu2003,"Insular Mixed Island- and Continental Arc","Bay 21","Island Copper","Island Group","Group includes Island Copper deposit and Bay 21, Bay 29, Bay 56, Road, Rupert, and Yankee Girl prospects.",prospect,Canada,"British Columbia",50.61080513,-127.511716476,"Porphyry copper",NA,167,"Inferred from U-Pb zircon age for Island Copper","167 Ma",unknown,"Cu, Ag, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Transitional to epithermal. Grades: 4.17 percent Cu, 0.34 g/t Au, 34.3 g/t Ag.","chalcopyrite, pyrite",andesite,Occurrence,"MINFILE BC (2009)",mixed,"British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Middle Jurassic"
318,9626,003pCu2003,"Insular Mixed Island- and Continental Arc","Bay 29","Island Copper","Island Group","Group includes Island Copper deposit and Bay 21, Bay 29, Bay 56, Road, Rupert, and Yankee Girl prospects.",prospect,Canada,"British Columbia",50.596105136,-127.455816464,"Porphyry copper",NA,167,"Inferred from U-Pb zircon age for Island Copper","167 Ma",unknown,"Fe, Cu",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Transitional to epithermal.","chalcopyrite, magnetite, pyrite","andesite, granodiorite",Occurrence,"MINFILE BC (2009)",mixed,"British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Middle Jurassic"
319,9628,003pCu2003,"Insular Mixed Island- and Continental Arc","Bay 56",Sunset,"Island Group","Group includes Island Copper deposit and Bay 21, Bay 29, Bay 56, Road, Rupert, and Yankee Girl prospects.",prospect,Canada,"British Columbia",50.631105129,-127.521716484,"Porphyry copper",NA,167,"Inferred from U-Pb zircon age for Island Copper","167 Ma",unknown,"Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Transitional to epithermal.","chalcopyrite, molybdenite, pyrite","andesitic tuff, felsite tuff",Occurrence,"MINFILE BC (2009)",mixed,"British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Middle Jurassic"
320,9629,003pCu2001x,"Intermontane Island-Arc",Bear,"Chaco Bear",,"Dave, Dave 1-8, Peteka 1-4 (veins near new Bear porCu prospect)",prospect,Canada,"British Columbia",56.103144319,-126.874473429,"Porphyry copper",NA,-9999,"Geologic inference","Early Jurassic","geologic inference","Cu, Mo, Au",Ag,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.3 percent Cu, 0.083 Mo, 6.1 g/t Au, 8.4 g/t Ag.","chalcopyrite, limonite, molybdenite","intrusion of unspecified composition",Occurrence,"MINFILE BC (2009); Schroeter and others (2006); Schroeter and others (2007); Northgate Minerals Corp. (2005); Imperial Metals Corp. (2008)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
321,9630,003pCu2004x,"Cordilleran Continental Arc","Bear Lake",,,"Bear 1-54",prospect,Canada,"British Columbia",56.113605318,-126.883318435,"Porphyry copper",NA,53,"K-Ar quartz monzonite","53 Ma",unknown,"Cu, Mo, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.27 percent Cu, 0.061 percent Mo.","chalcopyrite, molybdenite, pyrite, pyrrhotite","quartz monzonite porphyry, quartz latite porphyry, monzonite",Occurrence,"MINFILE BC (2009); Pilcher and McDougall (1976)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Eocene
322,9632,003pCu2004x,"Cordilleran Continental Arc","Ben 37",,,,prospect,Canada,"British Columbia",51.304405533,-124.416716241,"Porphyry copper",NA,-9999,"Geologic inference",Paleogene,"geologic inference","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.1 percent Cu, 0.002 Mo.","chalcopyrite, molybdenite, pyrite,","granodiorite, granite, pegmatite",Occurrence,"MINFILE BC (2009); Pilcher and McDougall (1976)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Paleogene
323,9637,003pCu2002x,"Intermontane Island-Arc Cu-Au","Big Bulk","Gold Strike",,"FH, Kinskuch, Kits-Jade, Midnight Blue, Reina Blanca",prospect,Canada,"British Columbia",55.663060967,-129.348629585,"Porphyry copper",NA,-9999,"Geologic inference","Early Jurassic","geologic inference","Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 1.22 percent Cu.","chalcopyrite, pyrite","andesitic volcanics",Prospect,"MINFILE BC (2009); David Wilburn (written commun., 2008); Canadian Empire Exploration Corp. (2003)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
324,9638,003pCu2002x,"Intermontane Island-Arc Cu-Au","Big Kidd",Giant,,,prospect,Canada,"British Columbia",49.943305933,-120.596115208,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic","geologic inference","Cu, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.9 percent Cu, 0.141 g/t Au, 13.66 g/t Ag.","bornite, chalcopyrite","diorite, microdiorite, augite andesite volcanics",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic"
325,9641,003pCu2004x,"Cordilleran Continental Arc","Blue 33-36",,,,prospect,Canada,"British Columbia",51.222505522,-124.488916227,"Porphyry copper",NA,63,"K-Ar biotite","63 Ma",unknown,"Cu, Mo, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.75 percent Cu, 6.8 g/t Ag.","bornite, chalcopyrite, molybdenite, pyrite","foliated biotite granodiorite",Occurrence,"MINFILE BC (2009); Pilcher and McDougall (1976)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)",Paleocene
326,9642,003pCu2002x,"Intermontane Island-Arc Cu-Au","Blue Jay",Snowflake,,,prospect,Canada,"British Columbia",49.980805935,-120.598615219,"Porphyry copper",NA,-9999,"Geologic inference","Late Triassic–Early Jurassic","geologic inference","Cu, Au, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.19 percent Cu, 0.204 g/t Au.","chalcocite, chalcopyrite, bornite, native copper","diorite, porphyritic basaltic andesite (volcanic-intrusive hybrid)",Occurrence,"MINFILE BC (2009); Pilcher and McDougall (1976)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Triassic–Early Jurassic"
327,9643,003pCu2002x,"Intermontane Island-Arc Cu-Au",Bornite,"Kerr P","Sulphurets Group","Group includes Kerr, Mitchell, and Sulphurets Gold deposits and Bornite prospect.",prospect,Canada,"British Columbia",56.485804838,-130.277219082,"Porphyry copper",NA,196,"Inferred from U-Pb zircon age for Sulphurets Gold","196 Ma",unknown,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry-style and epithermal mineralization-alteration. Grades: 1.86 percent Cu, 2.74 g/t Au.","arsenopyrite, bornite, chalcopyrite, pyrite, molybdenite, tetrahedrite","diorite, monzonite porphyry, syenite porphyry",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
328,9648,003pCu2001x,"Intermontane Island-Arc","Bud - North zone",,,,prospect,Canada,"British Columbia",49.444705926,-120.434715043,"Porphyry copper",NA,193,"U-Pb zircon","193 Ma",unknown,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.22 percent Cu.","chalcocite, chalcopyrite, pyrite","quartz diorite dike, porphyritic dike",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
329,9649,003pCu2001x,"Intermontane Island-Arc","Bud - South zone","Bud 527",,,prospect,Canada,"British Columbia",49.424705922,-120.457215042,"Porphyry copper",NA,193,"U-Pb zircon","193 Ma",unknown,"Cu, Au, Ag","Zn, Pb, Mo",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.184 percent Cu, 0.33 g/t Au, 8.7 g/t Ag.","bismuthinite, bornite, chalcocite, chalcopyrite, galena, molybdenite, pyrite, pyrrhotite, sphalerite","porphyritic granodiorite, tonalite",Occurrence,"MINFILE BC (2009)","island arc","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Early Jurassic"
330,9652,003pCu2004x,"Cordilleran Continental Arc",Buzzer,Taseko,,,prospect,Canada,"British Columbia",51.101105657,-123.35281601,"Porphyry copper",NA,87,"K-Ar biotite","87 Ma",unknown,"Cu, Au, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Grades: 0.6 percent Cu.","chalcopyrite, magnetite, molybdenite, native gold, pyrite","porphyritic quartz diorite, granodiorite, quartz monzonite",Occurrence,"MINFILE BC (2009)","continental margin","British Columbia and Yukon Territory","Mihalasky and others (2011, revised 2013)","Late Cretaceous"
